text,rating,clean_text,text_length
That right voltage just the wrong plug in. It simply did not fit my HP p2 Desktop.,3.0,that right voltage just the wrong plug in it simply did not fit my hp p desktop,79
They are great to begin with and for several months. Then the under-engineered case starts deteriorating.  Side opens up when charging and the button departs.  Mine is now held together with rubberbands and is very hard to operate as the on/off button does not align with the switch.  Sides of case material made too thin. Probably made that way to save weight.  They do still work when I can turn them on.,3.0,they are great to begin with and for several months then the underengineered case starts deteriorating side opens up when charging and the button departs mine is now held together with rubberbands and is very hard to operate as the onoff button does not align with the switch sides of case material made too thin probably made that way to save weight they do still work when i can turn them on,393
"I bought this for a Raspberry Pi, and got it working as an Airplay receiver. It only draws 500mA so that's good, it can be powered by the RPi's USB bus. But, the sound is just ok / pretty thin and sounds worse as one ups the volume - I think one would probably be better off with an externally powered speaker over the audio jack at maybe  $20 price point rather than these.<br /><br />The button-based volume controls do nothing connected to the RPi, my guess is with other setups they simply would adjust the host's audio.",3.0,i bought this for a raspberry pi and got it working as an airplay receiver it only draws ma so thats good it can be powered by the rpis usb bus but the sound is just ok pretty thin and sounds worse as one ups the volume i think one would probably be better off with an externally powered speaker over the audio jack at maybe price point rather than thesebr br the buttonbased volume controls do nothing connected to the rpi my guess is with other setups they simply would adjust the hosts audio,494
"I needed ear buds with a straight jack because the ones I had wouldn't stay in my phone with the protective case on it.  These are comfortable, I got a pair in a color I like, and they're cheap, but the sound quality is less than optimal.  Don't buy these if you're looking for high-quality ear buds, but if you just need a cheap pair they're all right.",3.0,i needed ear buds with a straight jack because the ones i had wouldnt stay in my phone with the protective case on it these are comfortable i got a pair in a color i like and theyre cheap but the sound quality is less than optimal dont buy these if youre looking for highquality ear buds but if you just need a cheap pair theyre all right,338
looked well packaged but the content was quite flimsy and austere. includes one very small wipe and rag. didn't even include a squeegee to remove any trapped air behind the protector after installation<br /><br />totally not impressed,3.0,looked well packaged but the content was quite flimsy and austere includes one very small wipe and rag didnt even include a squeegee to remove any trapped air behind the protector after installationbr br totally not impressed,225
It was horrible. I didn't use it long.,3.0,it was horrible i didnt use it long,35
"I bought a pair of these, and one works great and the other doesn't.  I have tried different SD cards and both a CF card reader and a camera with a CF card slot.  I don't know if the problem is the SD card slot or the CF connections, but for me that's a 50% fail rate.<br /><br />Unfortunately, I didn't open the 2nd package (the one that doesn't work) within 30 days, so no refund.<br /><br />Update:  3rd one arrived and worked fine.",3.0,i bought a pair of these and one works great and the other doesnt i have tried different sd cards and both a cf card reader and a camera with a cf card slot i dont know if the problem is the sd card slot or the cf connections but for me thats a fail ratebr br unfortunately i didnt open the nd package the one that doesnt work within days so no refundbr br update rd one arrived and worked fine,394
It’s a good light. My only complaint is you can’t use it while charging. At least mine didn’t work.,3.0,its a good light my only complaint is you cant use it while charging at least mine didnt work,93
not a bad buy and a good price but not as user friendly as you would think takes a bit to get to know it and how to use it.,3.0,not a bad buy and a good price but not as user friendly as you would think takes a bit to get to know it and how to use it,122
"&lt;edit><br />It turns out it was working, but none of the games I tried would recognize it for some reason. I ended up using a program to make it press keyboard keys instead, and was able to use that for anything that didn't work. Using Steam's big picture mode, all the games I tried that it said were controller compatible worked fine with it. Still not a great product though, due to the messed up way you have to install it. This is the first time I've ever used something usb that made me install it every time, and it is also the first time I've been forced to use device manager to make something work.<br />&lt;/edit><br /><br />I bought this, knowing I would have to manually install the driver, so I went ahead and did that. Now, all it does it show the battery level on my computer when I press the xbox button on the controller.<br /><br />Any other buttons on the remote will not register anything at all. I try to press up to bind up to something in any game, nothing happens. And it's not because it won't connect to the receiver, since the xbox button displays battery level on the computer screen.<br /><br />I will update later about how I got it working if I ever get this thing working. It's too bad these cruddy receivers are all I could find, I would have gladly spent $40 or even $50 for a receiver that just works, no strings attached.",3.0,lteditbr it turns out it was working but none of the games i tried would recognize it for some reason i ended up using a program to make it press keyboard keys instead and was able to use that for anything that didnt work using steams big picture mode all the games i tried that it said were controller compatible worked fine with it still not a great product though due to the messed up way you have to install it this is the first time ive ever used something usb that made me install it every time and it is also the first time ive been forced to use device manager to make something workbr lteditbr br i bought this knowing i would have to manually install the driver so i went ahead and did that now all it does it show the battery level on my computer when i press the xbox button on the controllerbr br any other buttons on the remote will not register anything at all i try to press up to bind up to something in any game nothing happens and its not because it wont connect to the receiver since the xbox button displays battery level on the computer screenbr br i will update later about how i got it working if i ever get this thing working its too bad these cruddy receivers are all i could find i would have gladly spent or even for a receiver that just works no strings attached,1291
"This is a pretty large device. The good news is that there’s quite a bit of room between the outlets so large plugs will fit easily.  I like that it comes in black or white. It has a nice long power cord that is convenient.  900 joules of surge protection is on the low side of surge protection but sufficient for my needs. What I dislike is quite a long list:<br />1. There is no UL listed markings on the device itself. So it’s unlikely it is UL listed. If the seller can provide the proper UL documentation I will gladly update this. The lack of markings from UL labs, means it’s likely we have been lied to. Doesn’t inspire confidence in an electrical device. Is it really a surge protector or just a power strip?<br />2. There is no manufacturer address, toll free number or company email address. It has an email address at outlook.com. Not valas.com or some parent company.<br />3. Strange looking warranty - see photo<br />4. Inattention to detail in the manual. There’s a typo on the manual (the piece of paper included in the box) that states it’s 300,000watts. - see photo.<br />5. Amazon listing has inconsistencies. For example, they state it has a flat plug at one point, yet show a normal plug on all the pictures. It does have a normal plug. They state it has a two year warranty on the Amazon listing, but the piece of paper in the box states one year.<br />6. I am not noticing the childproof covers they mention?<br />7. The 3rd (out of 7 photos you can scroll through at the top of the Amazon listing) shows 1300J joules of surge protection. The rest of the listing says 900 joules. Strange inaccuracies. Maybe they make a different surge protector that looks similar and used the wrong photo? Either that, or someone accidentally typed 1300 instead of 900?<br /><br />I don’t have a lot of confidence in this. I am using it, but will try to remember to unplug it before leaving the house. It certainly works to charge my iPad, phone, and watch.",3.0,this is a pretty large device the good news is that theres quite a bit of room between the outlets so large plugs will fit easily i like that it comes in black or white it has a nice long power cord that is convenient joules of surge protection is on the low side of surge protection but sufficient for my needs what i dislike is quite a long listbr there is no ul listed markings on the device itself so its unlikely it is ul listed if the seller can provide the proper ul documentation i will gladly update this the lack of markings from ul labs means its likely we have been lied to doesnt inspire confidence in an electrical device is it really a surge protector or just a power stripbr there is no manufacturer address toll free number or company email address it has an email address at outlookcom not valascom or some parent companybr strange looking warranty see photobr inattention to detail in the manual theres a typo on the manual the piece of paper included in the box that states its watts see photobr amazon listing has inconsistencies for example they state it has a flat plug at one point yet show a normal plug on all the pictures it does have a normal plug they state it has a two year warranty on the amazon listing but the piece of paper in the box states one yearbr i am not noticing the childproof covers they mentionbr the rd out of photos you can scroll through at the top of the amazon listing shows j joules of surge protection the rest of the listing says joules strange inaccuracies maybe they make a different surge protector that looks similar and used the wrong photo either that or someone accidentally typed instead of br br i dont have a lot of confidence in this i am using it but will try to remember to unplug it before leaving the house it certainly works to charge my ipad phone and watch,1828
Don't bother if you use Linux.,3.0,dont bother if you use linux,28
"Gave this as a gift, for my uncles g4 phone doesn't fit the g4 phone, just so you all know.  Otherwise it seems nice.",3.0,gave this as a gift for my uncles g phone doesnt fit the g phone just so you all know otherwise it seems nice,109
These are ok for right now. Build quality is kinda of flimsy. Don't think they will last to long bought them for my kids live lessons and feel like I'll have to replace them soon.,3.0,these are ok for right now build quality is kinda of flimsy dont think they will last to long bought them for my kids live lessons and feel like ill have to replace them soon,174
Picks up radio noise when connected to tube amp.,3.0,picks up radio noise when connected to tube amp,47
Package was open.  Cover quite flimsy.<br />Just meh.,3.0,package was open cover quite flimsybr just meh,46
"Banding straps were too short, so I replaced them with 3/8&#34; cable and bolt clips. The installation was very sturdy.",3.0,banding straps were too short so i replaced them with cable and bolt clips the installation was very sturdy,107
The roller for your finger is a little lose but otherwise its OK.,3.0,the roller for your finger is a little lose but otherwise its ok,64
"UPDATE: After using this thing for a year I am lowering my review from 5 stars to 3.<br />Although all the things I said in my initial review are still true. I realized that this laptop always defaults to the onboard graphics card that has lower specs than the dedicated. It has a GTX 960M, which is listed on the nvidia website as 4k capable. I tried to force it into 4k mode for a drawing tablet on photoshop, with a tablet monitor capable of 4k and it wouldn't do it. And because this is a mobile GPU card, there was no option to plug directly to the dedicated card to bypass the onboard card. Tried it with other things like games, and could not force it into 4k even when using nvidia control panel to specify which card you want a program to use.<br /><br />That was very disappointing as part of the appeal of buying this is the relatively powerful mobile graphics card. Not being able to use it fully due to the setup is lowering the value of this laptop.<br />__________________________________________________________________________________<br />This laptop is pretty beast. I had a ROG g75vw and while it was fine, it was much heavier than this laptop at about 9-10lbs. The old laptop also didn't fit in my backpack without a lot of cramming. This one is more powerful, and more compact, but beware, the battery life sucks if you're trying to use it for gaming. For regular internet surfing without a lot of background applications running, you can reasonably expect the battery to last 1-3 hours on a medium brightness setting. I use it as a desktop replacement, so it never becomes an issue for me.<br /><br />The other thing to note, the battery on this laptop is on the inside. It seems like with every new line Asus makes, they try more and more to replicate Macbooks with their sleek lines, gestures and tamper-proof components. I initially liked Asus because even in the laptops they would make the components accessible, easy to clean and easy to modify. Now even the battery can't be accessed without a screwdriver...<br />There's only 4 USB A ports on this laptop. There's space for one more, but the last USB port is a USB C port, which sort of a waste of a port for now, but will come in handy in the future when everyone converts to it.<br /><br />Besides that, the actual performance of the machine is great. If you get rid of all the bloatware, it is blazing fast and boots in only a few second if you have quick boot enabled in BIOS. I didn't like the windows 10 scheme, so I used start10 to fix the interface. After that it was perfect!<br /><br />tl;dr some flaws, but overall great for normal use, gaming and graphic design that needs heavy processing power (digital painting).",3.0,update after using this thing for a year i am lowering my review from stars to br although all the things i said in my initial review are still true i realized that this laptop always defaults to the onboard graphics card that has lower specs than the dedicated it has a gtx m which is listed on the nvidia website as k capable i tried to force it into k mode for a drawing tablet on photoshop with a tablet monitor capable of k and it wouldnt do it and because this is a mobile gpu card there was no option to plug directly to the dedicated card to bypass the onboard card tried it with other things like games and could not force it into k even when using nvidia control panel to specify which card you want a program to usebr br that was very disappointing as part of the appeal of buying this is the relatively powerful mobile graphics card not being able to use it fully due to the setup is lowering the value of this laptopbr __________________________________________________________________________________br this laptop is pretty beast i had a rog gvw and while it was fine it was much heavier than this laptop at about lbs the old laptop also didnt fit in my backpack without a lot of cramming this one is more powerful and more compact but beware the battery life sucks if youre trying to use it for gaming for regular internet surfing without a lot of background applications running you can reasonably expect the battery to last hours on a medium brightness setting i use it as a desktop replacement so it never becomes an issue for mebr br the other thing to note the battery on this laptop is on the inside it seems like with every new line asus makes they try more and more to replicate macbooks with their sleek lines gestures and tamperproof components i initially liked asus because even in the laptops they would make the components accessible easy to clean and easy to modify now even the battery cant be accessed without a screwdriverbr theres only usb a ports on this laptop theres space for one more but the last usb port is a usb c port which sort of a waste of a port for now but will come in handy in the future when everyone converts to itbr br besides that the actual performance of the machine is great if you get rid of all the bloatware it is blazing fast and boots in only a few second if you have quick boot enabled in bios i didnt like the windows scheme so i used start to fix the interface after that it was perfectbr br tldr some flaws but overall great for normal use gaming and graphic design that needs heavy processing power digital painting,2583
Fine for watching animals in the yard but not ideal for travel. Heavy & a pain to put in the case.,3.0,fine for watching animals in the yard but not ideal for travel heavy a pain to put in the case,94
"This is the worst Harmony I've ever used.  It's an ergonomic disaster with little that is done right.  It is however still a Harmony, so it somehow salvages 3 stars for what they all do right.<br /><br />It seemed nice in the box, and it was a breeze transferring everything from my Harmony 700 to this via the My Harmony program.  The weight and balance are good and the charging cradle works well.  Everything else ranges from bad to worse.<br /><br />Maybe one day the screen/pad will do what I need it to do, but for now it's rubbish and it's in the location where the most used buttons should be.  As a result those buttons are below (4 way controller, volume, channel, etc... or above (play, pause, etc...).  Ugh!  Worse yet the screen/pad isn't just dead space (honestly it would be better if it were), rather it's live.  That can be ok when it's acting like a touch pad with various taps and swipes to do things (it never works that well, but I see what they're trying to do), but it's a disaster when it's live with functions that are so seldom used there's no dedicated button.  So channel favorites, random superfluous functions, etc get accidentally pressed.  Even then they hardly work in the case of the favorites with my Motorola cable box running Uverse (95% of the time 2 or 3 of the 4 digits are recognized).  When you avoid that pad the other buttons are cramped and arranged poorly even within their poor locations.  The 4 way pad is small, as are the play and pause buttons and the skip and fast forward buttons are shared.  Of all the sacrifices made for the screen/pad, those red, green, yellow, and blue buttons you never use are still there--UGH!!!!!<br /><br />Move the screen up, move the key buttons where the fingers land, kill the color keyed buttons that don't ever do s***, and try again.  Oh and the battery life sucks too.  Please make a new flagship controller ala the Harmony One (original) 880, etc...  Hell the 700s I have are better than this!<br /><br />The Harmony software and ecosystem is still strong, and as noted before, there's a lot this gets right, but so does every other Harmony and they lack this ergonomic disaster.",3.0,this is the worst harmony ive ever used its an ergonomic disaster with little that is done right it is however still a harmony so it somehow salvages stars for what they all do rightbr br it seemed nice in the box and it was a breeze transferring everything from my harmony to this via the my harmony program the weight and balance are good and the charging cradle works well everything else ranges from bad to worsebr br maybe one day the screenpad will do what i need it to do but for now its rubbish and its in the location where the most used buttons should be as a result those buttons are below way controller volume channel etc or above play pause etc ugh worse yet the screenpad isnt just dead space honestly it would be better if it were rather its live that can be ok when its acting like a touch pad with various taps and swipes to do things it never works that well but i see what theyre trying to do but its a disaster when its live with functions that are so seldom used theres no dedicated button so channel favorites random superfluous functions etc get accidentally pressed even then they hardly work in the case of the favorites with my motorola cable box running uverse of the time or of the digits are recognized when you avoid that pad the other buttons are cramped and arranged poorly even within their poor locations the way pad is small as are the play and pause buttons and the skip and fast forward buttons are shared of all the sacrifices made for the screenpad those red green yellow and blue buttons you never use are still thereughbr br move the screen up move the key buttons where the fingers land kill the color keyed buttons that dont ever do s and try again oh and the battery life sucks too please make a new flagship controller ala the harmony one original etc hell the s i have are better than thisbr br the harmony software and ecosystem is still strong and as noted before theres a lot this gets right but so does every other harmony and they lack this ergonomic disaster,2011
having technical problems:(,3.0,having technical problems,25
no speed increase or connect to my 5G modem,3.0,no speed increase or connect to my g modem,42
"Really surprised that these are rated as high as they are by so many people. The sound is adequate and the price is fantastic -- and if you balance these out, one could argue for &#34;good value&#34;. In fairness, I think I got my money's worth, but the wires are flimsy (not likely to last a long time) and the bass is poor. Again, the price is fantastic and these will be good to have around for occasions where the bass is less important (e.g., audiobooks) or places where if they get destroyed (e.g., a workout session at the gym where wires sometimes get snagged), well...not much of a loss financially.",3.0,really surprised that these are rated as high as they are by so many people the sound is adequate and the price is fantastic and if you balance these out one could argue for good value in fairness i think i got my moneys worth but the wires are flimsy not likely to last a long time and the bass is poor again the price is fantastic and these will be good to have around for occasions where the bass is less important eg audiobooks or places where if they get destroyed eg a workout session at the gym where wires sometimes get snagged wellnot much of a loss financially,570
