text,rating,clean_text,text_length
A fun gift.,5.0,a fun gift,10
Really like it! I lost my previous one months ago. I think this one has no difference with the product in Apple website. The quality is pretty good.,5.0,really like it i lost my previous one months ago i think this one has no difference with the product in apple website the quality is pretty good,144
My husband and I are photographers and love to manipulate our images on the iPad. This tool is useful and easy to use.,5.0,my husband and i are photographers and love to manipulate our images on the ipad this tool is useful and easy to use,116
"Owning a DSLR is all about using the right lens for the occasion, but sometimes a do-it-all lens makes travel or photo walks easier. While it is true the lens is soft wide open and at both ends of the zoom, stopping down fixes almost all of that. Also, barrel distortion is noticeable, but now that Light Room 4 has this lens in the library, fixing it in post is straight forward. In the end, it is about the pictures you can take, and I have been more than happy with all the shots I have taken so far.<br />Note, some reviewers have complained of the weight. I shoot this on D7000, and the balance is good. I have the 70-200 f2.8 nikkor lens, and it is much lighter than that.<br />Also, the zoom on this lens is nice and tight. No drift in the zoom, and it feels good zooming in and out. The lens focuses quickly and sharp.<br />The only negative for the lens is obvious from stats. Low light shooting is only ok, especially zoomed in. The VR helps, as do the better bodies that shoot well at high ISO.",5.0,owning a dslr is all about using the right lens for the occasion but sometimes a doitall lens makes travel or photo walks easier while it is true the lens is soft wide open and at both ends of the zoom stopping down fixes almost all of that also barrel distortion is noticeable but now that light room has this lens in the library fixing it in post is straight forward in the end it is about the pictures you can take and i have been more than happy with all the shots i have taken so farbr note some reviewers have complained of the weight i shoot this on d and the balance is good i have the f nikkor lens and it is much lighter than thatbr also the zoom on this lens is nice and tight no drift in the zoom and it feels good zooming in and out the lens focuses quickly and sharpbr the only negative for the lens is obvious from stats low light shooting is only ok especially zoomed in the vr helps as do the better bodies that shoot well at high iso,951
excellent and fast delivery,5.0,excellent and fast delivery,27
"I've been an avid fan of ebooks since the long gone days of the Rocket and the eBookman, and a fan of the Kindle since the very beginning.  This is miles and away the best there has ever been.  It is a luxury model, no doubt, but oh is it luxurious.<br /><br />I like:<br />The weight.  Even in the case it's very light, though if it gets much lighter I'll worry about it blowing away in a strong wind.<br />The size.  It's not going to get much smaller without shrinking the screen.<br />The interface.  I'm sorry, I like buttons.  Call me old.  I never bent back the spine of a book (horrors) so I can't compare the feel of this to that, but I can say it's nice for a long reading session.  The touch screen takes a bit of getting used to, but the tutorial will guide a new user. The tutorial is intrusive at first, but provides useful information and goes away quickly.  I will suggest customizing the screen.  I hated the default, but you get a lot of options to make it just the way you want.<br />The lighting is now all but invisible.  I was unhappy that you can't completely turn it off as you could with the Nook Glowlight, and turning it down casts an odd yellow light over the page, but it's so even now as to be so unintrusive I barely notice going from sunlight to tunnel on the bus home. With the Nook I'd be thrown out of the book to go turn on the light.  With the Kindle, I can keep reading without a pause.  It does not have adaptive lighting, but I'm not sure it needs it.<br />The download speed.  I don't know if it's supposed to be faster than the Kindle Keyboard (the last one I had with 3G) but it certainly seems that way.<br />The battery life.  Maybe with this thing going for months we'll finally hear an end to the &#34;but my dead tree doesn't run out of power&#34; nonsense.<br />Next in series. When you're almost done with a book, it tells you where the story continues.  Now the next feature I want, and if it does this I haven't seen it yet, is an alert when the next book in a series I'm following is published.  Yes, FictFact is great, but I'm greedy and want it right on the device.<br /><br />I don't like:<br />It's not waterproof.  There was a lot of hope it would be after the Nook went that route.<br />It's not solar, yet, but there are rumors of a solar cover coming soon.<br />It doesn't support Audible and the excellent immersive reading between ebook and audiobook.  I have a weird love of that feature, seeing what changed print to audio.<br />Recommended Content and Reading Lists.  I shut this feature off.  The information seems scattered at best and gave me no useful information, especially considering how precious screen real estate is.",5.0,ive been an avid fan of ebooks since the long gone days of the rocket and the ebookman and a fan of the kindle since the very beginning this is miles and away the best there has ever been it is a luxury model no doubt but oh is it luxuriousbr br i likebr the weight even in the case its very light though if it gets much lighter ill worry about it blowing away in a strong windbr the size its not going to get much smaller without shrinking the screenbr the interface im sorry i like buttons call me old i never bent back the spine of a book horrors so i cant compare the feel of this to that but i can say its nice for a long reading session the touch screen takes a bit of getting used to but the tutorial will guide a new user the tutorial is intrusive at first but provides useful information and goes away quickly i will suggest customizing the screen i hated the default but you get a lot of options to make it just the way you wantbr the lighting is now all but invisible i was unhappy that you cant completely turn it off as you could with the nook glowlight and turning it down casts an odd yellow light over the page but its so even now as to be so unintrusive i barely notice going from sunlight to tunnel on the bus home with the nook id be thrown out of the book to go turn on the light with the kindle i can keep reading without a pause it does not have adaptive lighting but im not sure it needs itbr the download speed i dont know if its supposed to be faster than the kindle keyboard the last one i had with g but it certainly seems that waybr the battery life maybe with this thing going for months well finally hear an end to the but my dead tree doesnt run out of power nonsensebr next in series when youre almost done with a book it tells you where the story continues now the next feature i want and if it does this i havent seen it yet is an alert when the next book in a series im following is published yes fictfact is great but im greedy and want it right on the devicebr br i dont likebr its not waterproof there was a lot of hope it would be after the nook went that routebr its not solar yet but there are rumors of a solar cover coming soonbr it doesnt support audible and the excellent immersive reading between ebook and audiobook i have a weird love of that feature seeing what changed print to audiobr recommended content and reading lists i shut this feature off the information seems scattered at best and gave me no useful information especially considering how precious screen real estate is,2529
I absolutely love this product. everyone keeps asking me where I got this from.,5.0,i absolutely love this product everyone keeps asking me where i got this from,77
Great quality for half the price in the store,5.0,great quality for half the price in the store,45
"It's quiet,  easy to  charge.  No  sure how  long a charge lasts as I haven't had it long.  It  clamps on about anything and the clamp is strong.  I got it to provide a bit of air circulation in  my green house.  Works perfectly with the swivel  base.  May add another on in  future.  Good deal!",5.0,its quiet easy to charge no sure how long a charge lasts as i havent had it long it clamps on about anything and the clamp is strong i got it to provide a bit of air circulation in my green house works perfectly with the swivel base may add another on in future good deal,271
I ordered this for our guest room and it is perfect.  The cord is long enough to have options on where to put it and guests don't need to haul chargers with them.  Probably going to order one for the basement and livingroom.,5.0,i ordered this for our guest room and it is perfect the cord is long enough to have options on where to put it and guests dont need to haul chargers with them probably going to order one for the basement and livingroom,218
Definitely noise canceling! Premium sound for a good price. Wish the cord was a bit longer.,5.0,definitely noise canceling premium sound for a good price wish the cord was a bit longer,88
A+,5.0,a,1
External drive works well with my computer.,5.0,external drive works well with my computer,42
"This case allows my daughter to drop and slam her case around all the time.<br />SHe is autistic and she is not careful, so I use super strong protection.<br />PLUS I added on a super strong expensive screen protector from ZAGG for the screen.<br />SHE IS SET!<br />AWESOME!",5.0,this case allows my daughter to drop and slam her case around all the timebr she is autistic and she is not careful so i use super strong protectionbr plus i added on a super strong expensive screen protector from zagg for the screenbr she is setbr awesome,256
It is a nice case. It also flips so the iPad will stand.,5.0,it is a nice case it also flips so the ipad will stand,54
fits and works perfectly,5.0,fits and works perfectly,24
"There is a ton of space! The fabric is pretty as well as durable. Love this backpack! great purchase. update: I have spilled and been caught in the rain, It’s waterproof!!!!",5.0,there is a ton of space the fabric is pretty as well as durable love this backpack great purchase update i have spilled and been caught in the rain its waterproof,162
Great product,5.0,great product,13
"O.K. , So I have this mini-wireless speaker that I like to carry with me EVERYWHERE I go, the problem is it's a very odd shape and the only thing I have ever found that fits it and my other gadgets properly is the bag my Grandmother uses to keep her diabetic supplies in. Well my problem has been solved because this case handles everything and is much cooler to carry around. The inside pockets and pouches are spacious and very intelligently arranged. It is also attractive and seems to be very durable. I'm 99.5% happy with this purchase. The only thing I didn't like was the big fat made in China label on the inside. I have even more good things I could say about this travel case, but I gotta go take Grandma her diabetic bag back.",5.0,ok so i have this miniwireless speaker that i like to carry with me everywhere i go the problem is its a very odd shape and the only thing i have ever found that fits it and my other gadgets properly is the bag my grandmother uses to keep her diabetic supplies in well my problem has been solved because this case handles everything and is much cooler to carry around the inside pockets and pouches are spacious and very intelligently arranged it is also attractive and seems to be very durable im happy with this purchase the only thing i didnt like was the big fat made in china label on the inside i have even more good things i could say about this travel case but i gotta go take grandma her diabetic bag back,714
Love this bag perfect for being a insurance agent,5.0,love this bag perfect for being a insurance agent,49
Love it! Now I can take all my music along in one little MP3. It synced with a FM radio station right away and works great.,5.0,love it now i can take all my music along in one little mp it synced with a fm radio station right away and works great,119
"so far, I like it. My husband gets a kick out of asking what time and temp is in Hawaii. Or New York. Or any other place. We ask it for the deals and ask it to play music. Even Mikey likes it.",5.0,so far i like it my husband gets a kick out of asking what time and temp is in hawaii or new york or any other place we ask it for the deals and ask it to play music even mikey likes it,185
"Perfect for my use: As a dust cover over a 120mm cpu cooler, works great to help keep dust out of my internals in a Roswill HTPC case.. It looks good as well. I will rebuy again.",5.0,perfect for my use as a dust cover over a mm cpu cooler works great to help keep dust out of my internals in a roswill htpc case it looks good as well i will rebuy again,169
Great product,5.0,great product,13
The battery only lasts about 6 hours when the kids use it.,5.0,the battery only lasts about hours when the kids use it,55
"Decent quality but just so you're aware in real world usage this gives between 3 (playing a game) and 18 (computer is idle) minutes outage life for my current system.  Which I expected going into it, I just wanted enough time to do a graceful shutdown rather than a hard stop for my system.",5.0,decent quality but just so youre aware in real world usage this gives between playing a game and computer is idle minutes outage life for my current system which i expected going into it i just wanted enough time to do a graceful shutdown rather than a hard stop for my system,276
Decided to go new rather than upgrade my existing. No regrets,5.0,decided to go new rather than upgrade my existing no regrets,60
I read a post for this product and immediately ordered it. I received my item today and was surprised that the cradle was so slim . The Kindle snapped into it very easily and a blue light came on to show it was connected. I plugged it into the USB port on my laaptop and it immediately showed up as connected. I am really glad that this accessory became available. It will make connecting and charging even easier.,5.0,i read a post for this product and immediately ordered it i received my item today and was surprised that the cradle was so slim the kindle snapped into it very easily and a blue light came on to show it was connected i plugged it into the usb port on my laaptop and it immediately showed up as connected i am really glad that this accessory became available it will make connecting and charging even easier,407
Good reception. Nice size.,5.0,good reception nice size,24
Great product,5.0,great product,13
These ear buds worked fine. We were able to use them without a problem. They fit in the ear okay. The sounds came out just fine. It met our needs. It was as described. They were discreet and not easily noticed. It made it a lot easier to use them. They were fairly comfortable. We didn’t have any problems.<br /><br />I liked that they were wireless. It is so convenient not to have to worry about cords.,5.0,these ear buds worked fine we were able to use them without a problem they fit in the ear okay the sounds came out just fine it met our needs it was as described they were discreet and not easily noticed it made it a lot easier to use them they were fairly comfortable we didnt have any problemsbr br i liked that they were wireless it is so convenient not to have to worry about cords,385
It works well with a Macbook Pro 13' 2017,5.0,it works well with a macbook pro,32
Bought these because I love the quality of samsung. Even to this day still running perfectly! The wing design really keeps these ear buds in place and overall I am very satisfied,5.0,bought these because i love the quality of samsung even to this day still running perfectly the wing design really keeps these ear buds in place and overall i am very satisfied,176
"Purchased under Amazon's ""used/open"" items. received item-- looked new and good. Worked well !",5.0,purchased under amazons usedopen items received item looked new and good worked well,84
"It works just great if it directly connected into my Windows 8 PC, my Linux laptop, and even my USB KVM switch which I now use to switch using the keyboard between my PC and my laptop. I just plugged this thing in and it worked with everything. I couldn't be happier. I love the backlighting because when I telecommute and the sun goes down and I'm too hyperfocused to get up and turn on the ceiling light, I just keep chugging along without struggling to see the keys any more.",5.0,it works just great if it directly connected into my windows pc my linux laptop and even my usb kvm switch which i now use to switch using the keyboard between my pc and my laptop i just plugged this thing in and it worked with everything i couldnt be happier i love the backlighting because when i telecommute and the sun goes down and im too hyperfocused to get up and turn on the ceiling light i just keep chugging along without struggling to see the keys any more,467
I found these very handy. It makes leveling much easier. They are small & handy. They are easy to use so multi-packs are wise. Great product,5.0,i found these very handy it makes leveling much easier they are small handy they are easy to use so multipacks are wise great product,133
"Works great, looks great, feels great. I always know which cables are mine because of braided material. I'm very happy with Anker and their cables.",5.0,works great looks great feels great i always know which cables are mine because of braided material im very happy with anker and their cables,141
I like how the camera attaches to the 'jacket' some thought went into it. I've got a case for a different camera and you can't attach it to the camera securely. The strap is easy to adjust and it makes me feel safer with the strap so it won't fall out of my hand.,5.0,i like how the camera attaches to the jacket some thought went into it ive got a case for a different camera and you cant attach it to the camera securely the strap is easy to adjust and it makes me feel safer with the strap so it wont fall out of my hand,255
"It's a good mouse. It felt small at first, but after a day I got used to it quickly and it feels quick and nimble. I don't use the other buttons very much, but it's a quiet and efficient mouse.<br /><br />My right click button was jammed after two weeks so I couldn't use it. But after contacting the SHARKK support team they sent me a new working mouse immediately. I was impressed by the support team and their professional and rapid support. I will definitely be looking at SHARKK in the future.",5.0,its a good mouse it felt small at first but after a day i got used to it quickly and it feels quick and nimble i dont use the other buttons very much but its a quiet and efficient mousebr br my right click button was jammed after two weeks so i couldnt use it but after contacting the sharkk support team they sent me a new working mouse immediately i was impressed by the support team and their professional and rapid support i will definitely be looking at sharkk in the future,479
"These USB-C Magnetic Adapters support video and data transfer. I’m using one right now to connect my 35 inch curved monitor to my 2017 MacBook Pro, the refresh rate is 60Hz. I have used the adapters for about a week with my external monitor and other devices and have not had any screen stuttering or display issues.<br /><br />I have also tried the adapters with a hub, keyboard, and power adapter. They work with every USB-C device I have. The magnets are strong and hold securely.<br /><br />The adapters are slim enough not to block the USB-C port next to the one in use.<br /><br />I leave the magnetic tips in my laptop all the time even when I’m not using them. The tips sit nearly flush with the sides of the computer so they aren’t in the way.<br /><br />The adapters are boxed separately, and each comes with a tiny lanyard. I didn’t know what the lanyards were for, there was no explanation in the box. I thought maybe the magnetic adapters or tips had a hole for the lanyard so you didn’t lose them when not using them, but apparently, the lanyard is used to remove the tip from your device.",5.0,these usbc magnetic adapters support video and data transfer im using one right now to connect my inch curved monitor to my macbook pro the refresh rate is hz i have used the adapters for about a week with my external monitor and other devices and have not had any screen stuttering or display issuesbr br i have also tried the adapters with a hub keyboard and power adapter they work with every usbc device i have the magnets are strong and hold securelybr br the adapters are slim enough not to block the usbc port next to the one in usebr br i leave the magnetic tips in my laptop all the time even when im not using them the tips sit nearly flush with the sides of the computer so they arent in the waybr br the adapters are boxed separately and each comes with a tiny lanyard i didnt know what the lanyards were for there was no explanation in the box i thought maybe the magnetic adapters or tips had a hole for the lanyard so you didnt lose them when not using them but apparently the lanyard is used to remove the tip from your device,1042
My son said this worked great for his headset and gaming PC,5.0,my son said this worked great for his headset and gaming pc,59
Great Product,5.0,great product,13
"Good charger, works as expected, charges batteries in reasonable time. Does not get hot.",5.0,good charger works as expected charges batteries in reasonable time does not get hot,84
"Love this Bluetooth speaker. I even bought another to keep outside when I am doing yard work.  For such a small speaker, sounds so clear and loud.  This is water resistant and the battery life is very long.  I may purchase a third for the beach.  I give it 5 stars ⭐️ ⭐️⭐️⭐️⭐️",5.0,love this bluetooth speaker i even bought another to keep outside when i am doing yard work for such a small speaker sounds so clear and loud this is water resistant and the battery life is very long i may purchase a third for the beach i give it stars,252
They work without issue.,5.0,they work without issue,23
This is pretty good quality . So far so good .,5.0,this is pretty good quality so far so good,42
Best outlet!,5.0,best outlet,11
This item was great! It really met all my needs and I'd purchase again.<br />I'm very satisfied with the quality and value for the price.<br /><br />I can't believe all the features for the price!,5.0,this item was great it really met all my needs and id purchase againbr im very satisfied with the quality and value for the pricebr br i cant believe all the features for the price,180
"Perfect size, great for long bouts of reading. My favorite Kindle yet!",5.0,perfect size great for long bouts of reading my favorite kindle yet,67
Great cover for the chromebook!,5.0,great cover for the chromebook,30
"Exactly what I wanted. All sturdy, all the way around!",5.0,exactly what i wanted all sturdy all the way around,51
Used on a family trip. Worked as advertised. Great little charger.,5.0,used on a family trip worked as advertised great little charger,63
"New, works as excepted. Had it for 2 months & still working like a champ. No issues.",5.0,new works as excepted had it for months still working like a champ no issues,76
I purchased this sound bar for my large screen TV. It projects sound that is soft and clear. Easy to connect and remote control volume level. Great sound!,5.0,i purchased this sound bar for my large screen tv it projects sound that is soft and clear easy to connect and remote control volume level great sound,150
You get what you pay for! This is a good value. Materials seem solid and everything plugs in just fine. It works.,5.0,you get what you pay for this is a good value materials seem solid and everything plugs in just fine it works,109
"As a battery powered speaker, it's ok.  It's nothing bad, nor is it great.  This isn't really a speaker, or rather its so much more.  It's good weird fun without any of the polish (and blandness) to get in the way.  Want to create and display low fi art, this can do that.  It can display others creations from a huge community too.  It can be a clock, an internet radio, a conversation piece, and yet still more!<br />More than anything, this is fun.  It's not for everyone, and it's a hard falloff.  Either people get it and love it or they just dismiss it as overpriced crap.  It can be both, but for me, I love it.  So happy I ordered it!",5.0,as a battery powered speaker its ok its nothing bad nor is it great this isnt really a speaker or rather its so much more its good weird fun without any of the polish and blandness to get in the way want to create and display low fi art this can do that it can display others creations from a huge community too it can be a clock an internet radio a conversation piece and yet still morebr more than anything this is fun its not for everyone and its a hard falloff either people get it and love it or they just dismiss it as overpriced crap it can be both but for me i love it so happy i ordered it,598
